Count,Name,Year,Price
423,Sovereign Rarities,"Scotland, Alexander III Halfpenny, second coinage, Berwick Mint, star mullet rev.",£788.00
424,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type 3, Berwick Mint, moneyer William",£394.00
425,Sovereign Rarities,"Scotland, Alexander III Halfpenny, second coinage, two mullets of 6 points",£446.00
426,Sovereign Rarities,George III 1820 Sovereign with open 2 in date MS62,"£6,825.00"
427,Sovereign Rarities,"George III 1800 Third-Guinea, first type with first head and reverse",£788.00
428,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type VII, Perth Mint, Ion Cokin",£499.00
429,Thomas Numismatics,Louis XV Ecu - aux branches d'olivier - 1731 T Nantes R2,€90.00
430,Sovereign Rarities,* Elizabeth II 2007 proof Sovereign,£536.00
431,Sovereign Rarities,"Chingiz Khan, Silver Dirham.","£1,045.00"
432,Sovereign Rarities,Elizabeth II 1966 Gillick Sovereign MS64,£735.00
433,Sovereign Rarities,Elizabeth II 1959 Gillick Sovereign MS64,£499.00
434,Sovereign Rarities,Elizabeth II 1958 Gillick Sovereign MS65+,£945.00
435,Sovereign Rarities,Elizabeth II 2002 proof Sovereign,£919.00
436,Sovereign Rarities,* Elizabeth II 2015 proof Sovereign JC,£683.00
437,Sovereign Rarities,"George III 1817 Sovereign, first year of issue","£2,363.00"
438,Sovereign Rarities,"Scotland, Alexander III Farthing, second coinage",£788.00
439,Sovereign Rarities,"Scotland, Alexander II (in name of William) Short Cross Penny, Roxburgh, Peris and Adam","£1,838.00"
440,Sovereign Rarities,"Edward IV Half-Angel, second reign, mintmark pierced cross and pellet","£4,148.00"
441,Sovereign Rarities,"John Penny, Short Cross type, Kings Lynn Mint, moneyer Iohan",£730.00
442,Sphinx Numismatics,"414EM22) RARE ZANGIDS OF SYRIA, Al-Salih Isma'il, 569-577 AH / 1174-1181 AD, AR Dirham, 22.5 mm, 2.91 grms, struck at HALAB, in 573 AH, Type of Album 1852 (R); in XF cond. Superb",US$125.00
443,Sovereign Rarities,George V 1927 6-coin silver proof Set with red card case,£998.00
444,Sphinx Numismatics,"189EE23) THE UMAYYAD CALIPHATE, SULAYMAN, 96-99 AH / 715-717 AD, AR DIRHAM (2.58 gm; 27 mm) STRUCK AT THE MINT OF MAHI IN THE YEAR 98 AH ALBUM TYPE # 131; LAVOIX # 392, IN VF COND",US$90.00
445,Pasargad Coins,"SAMANID: Nasr II b. Ahmad, AE fals, Mint of Akhsikath, AH 320, SCARCE!",US$65.00
446,Pasargad Coins,"QARAKHANID: Nasr b. Ali, SCARCE AE fals, Mint of Ferghana, AH 386, Stylish!",US$75.00
447,Jongeling Numismatics & Ancient Art,Passon – Catalogue of the Coins of the Dutch Overseas Territories. 1601-present,€29.95
448,Jongeling Numismatics & Ancient Art,Numismatic Society of Diest – Festschrift in Honour of Dr Ellen Raven,€59.95
449,Pasargad Coins,"PERSIA, SAFAVID: Sultan Husayn, Silver Abbasi, Mint of Isfahan, AH 1132, STYLISH!",US$75.00
450,Forum Ancient Coins,Crusaders Principality of Antioch Tancred Regent 1101 - 1103 & 1104 -1112,US$93.00
451,NB-Numismatics,Islamic Anatolia and Al-Jazirah Zangids Qutb al-Din  Mawdud AE dirhem,US$139.00
452,NB-Numismatics,Islamic Anatolia and Al-Jazirah Artuqids Qutb al-Din II -Ghazi II AE dirhem,US$199.00
453,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
454,Sovereign Rarities,"George I 1723 WCC Shilling, made from silver from the Welsh Copper Company","£2,363.00"
455,Sovereign Rarities,William IV 1835 Sovereign rare date MS62,"£7,875.00"
456,Sovereign Rarities,George IV 1825 Sovereign bare head MS62+,"£6,300.00"
457,Sovereign Rarities,"Scotland, James VI 1594 Thirty-Pence, seventh coinage",£289.00
